target_idx,target_seed,repeat,repeat_seed,algorithm,fidelity,gate_count
13,55,0,55000,EA,0.37120253122492386,4
13,55,0,55000,SA,0.2187033588169697,3
13,55,1,55001,EA,0.37018807841722656,4
13,55,1,55001,SA,0.3288759150547378,14
13,55,2,55002,EA,0.35322873564688806,3
13,55,2,55002,SA,0.30099473898676626,4
13,55,3,55003,EA,0.3652617842664463,3
13,55,3,55003,SA,0.2826644495602901,10
13,55,4,55004,EA,0.3594751184807414,4
13,55,4,55004,SA,0.4219427024397279,9
14,56,0,56000,EA,0.5067165892377815,6
14,56,0,56000,SA,0.3759438862171001,5
14,56,1,56001,EA,0.5175047153349204,6
14,56,1,56001,SA,0.3083906377195974,4
14,56,2,56002,EA,0.535277593437875,5
14,56,2,56002,SA,0.2661389572694018,1
14,56,3,56003,EA,0.4994868211249174,5
14,56,3,56003,SA,0.49186341342490925,10
14,56,4,56004,EA,0.5384736918451135,6
14,56,4,56004,SA,0.35299712714764486,3
15,57,0,57000,EA,0.5035729759238818,5
15,57,0,57000,SA,0.4610980676677391,5
15,57,1,57001,EA,0.5043453751681718,5
15,57,1,57001,SA,0.47420301301387635,7
15,57,2,57002,EA,0.5186095479259514,5
15,57,2,57002,SA,0.26222387509034345,5
15,57,3,57003,EA,0.5241480135347811,7
15,57,3,57003,SA,0.30439331067606074,3
15,57,4,57004,EA,0.49851007832599575,4
15,57,4,57004,SA,0.41865026056297505,15
16,58,0,58000,EA,0.3989652517422988,6
16,58,0,58000,SA,0.3851486658805762,7
16,58,1,58001,EA,0.4197472245424859,6
16,58,1,58001,SA,0.28260327727127715,3
16,58,2,58002,EA,0.381502732867766,4
16,58,2,58002,SA,0.3096599522513694,4
16,58,3,58003,EA,0.3789523093967274,4
16,58,3,58003,SA,0.32439378855675627,7
16,58,4,58004,EA,0.38693121836220873,4
16,58,4,58004,SA,0.3351880148834084,4
17,59,0,59000,EA,0.4090821852615737,7
17,59,0,59000,SA,0.274280394116332,9
17,59,1,59001,EA,0.4489833978951883,9
17,59,1,59001,SA,0.2254840400917527,4
17,59,2,59002,EA,0.3063016198723722,4
17,59,2,59002,SA,0.25374800833549327,4
17,59,3,59003,EA,0.28706965959213343,3
17,59,3,59003,SA,0.31002591833071574,10
17,59,4,59004,EA,0.3087063119512645,6
17,59,4,59004,SA,0.27234500504028253,6
18,60,0,60000,EA,0.29677000966715766,5
18,60,0,60000,SA,0.20342584178740666,6
18,60,1,60001,EA,0.44930412739812586,7
18,60,1,60001,SA,0.2594029138457989,6
18,60,2,60002,EA,0.2840479601153322,3
18,60,2,60002,SA,0.2368504900763157,6
18,60,3,60003,EA,0.29225361228530533,4
18,60,3,60003,SA,0.2726964391821822,7
18,60,4,60004,EA,0.43595500284812244,7
18,60,4,60004,SA,0.2487152605226163,3
19,61,0,61000,EA,0.4543008597072883,5
19,61,0,61000,SA,0.3307125042979743,8
19,61,1,61001,EA,0.47717799163515295,5
19,61,1,61001,SA,0.3941273187448645,5
19,61,2,61002,EA,0.47977946560314044,7
19,61,2,61002,SA,0.3494127490767998,4
19,61,3,61003,EA,0.4262491833702238,4
19,61,3,61003,SA,0.37500073846240356,4
19,61,4,61004,EA,0.34424937620235796,3
19,61,4,61004,SA,0.292579476690917,8
