target_idx,target_seed,repeat,repeat_seed,algorithm,fidelity,gate_count
11,53,3,53003,SA,0.5960946009381799,6
11,53,4,53004,EA,0.6689177580851234,5
11,53,4,53004,SA,0.4115579581212813,3
11,53,5,53005,EA,0.5968629698299682,4
11,53,5,53005,SA,0.5160553244236402,8
11,53,6,53006,EA,0.6579745517862727,5
11,53,6,53006,SA,0.3585838471318776,10
11,53,7,53007,EA,0.6515468548604966,4
11,53,7,53007,SA,0.5451627224048634,6
12,54,0,54000,EA,0.6432666189155191,5
12,54,0,54000,SA,0.5967278143884797,5
12,54,1,54001,EA,0.5794583787453026,5
12,54,1,54001,SA,0.366795115802798,4
12,54,2,54002,EA,0.6080237605027474,3
12,54,2,54002,SA,0.5530763243991732,6
12,54,3,54003,EA,0.6328486674264283,5
12,54,3,54003,SA,0.519131551108118,6
12,54,4,54004,EA,0.6571510844697258,6
12,54,4,54004,SA,0.4634950294898097,8
12,54,5,54005,EA,0.5863802118555049,7
12,54,5,54005,SA,0.4263497254606023,9
12,54,6,54006,EA,0.6043427162898016,4
12,54,6,54006,SA,0.45181034643813067,4
12,54,7,54007,EA,0.6136158970656884,4
12,54,7,54007,SA,0.33442847737126996,4
13,55,0,55000,EA,0.371012795720359,4
13,55,0,55000,SA,0.2187033588169697,3
13,55,1,55001,EA,0.37091365101107193,3
13,55,1,55001,SA,0.3288759150547378,14
13,55,2,55002,EA,0.4109260628632511,6
13,55,2,55002,SA,0.30099473898676626,4
13,55,3,55003,EA,0.3897275048038201,5
13,55,3,55003,SA,0.2826644495602901,10
13,55,4,55004,EA,0.37199310529910745,4
13,55,4,55004,SA,0.4219427024397279,9
13,55,5,55005,EA,0.3656014012335242,3
13,55,5,55005,SA,0.38352731472597684,7
13,55,6,55006,EA,0.438191099797966,7
13,55,6,55006,SA,0.2577758327256148,8
13,55,7,55007,EA,0.3322549668236305,4
13,55,7,55007,SA,0.23280526042017466,2
14,56,0,56000,EA,0.5067165892377815,6
14,56,0,56000,SA,0.3759438862171001,5
14,56,1,56001,EA,0.506762720652999,6
14,56,1,56001,SA,0.3083906377195974,4
14,56,2,56002,EA,0.43937621241977454,4
14,56,2,56002,SA,0.2661389572694018,1
14,56,3,56003,EA,0.4141106685003224,4
14,56,3,56003,SA,0.49186341342490925,10
14,56,4,56004,EA,0.498182998291335,5
14,56,4,56004,SA,0.35299712714764486,3
14,56,5,56005,EA,0.5254026229916814,5
14,56,5,56005,SA,0.3488350723081968,8
14,56,6,56006,EA,0.5014531861567133,5
14,56,6,56006,SA,0.3416128465490869,2
14,56,7,56007,EA,0.4817156406299694,7
14,56,7,56007,SA,0.3491123867920866,6
